instrument_id,local_symbol,live_symbol
731,DORMANT -USD_731,Drm.731
732,DORMANT -USD_732,Drm.732
733,DORMANT -USD_733,Drm.733
734,DORMANT -USD_734,Drm.734
735,DORMANT -USD_735,Drm.735
736,DORMANT -USD_736,Drm.736
737,DORMANT -USD_737,Drm.737
741,CRUDE OI-USD_741,CL.APR26
742,CRUDE OI-USD_742,CL.MAY26
743,CRUDE OI-USD_743,CL.JUN26
744,CRUDE OI-USD_744,CL.JUL26
745,CRUDE OI-USD_745,CL.AUG26
746,CRUDE OI-USD_746,CL.SEP26
747,CRUDE OI-USD_747,CL.OCT26
748,CRUDE OI-USD_748,CL.NOV26
749,CRUDE OI-USD_749,CL.DEC26
750,CRUDE OI-USD_750,CL.JAN27
751,CRUDE OI-USD_751,CL.FEB27
752,CRUDE OI-USD_752,CL.MAR27
753,CRUDE OI-USD_753,CL.APR27
754,CRUDE OI-USD_754,CL.MAY27
755,CRUDE OI-USD_755,CL.JUN27
756,CRUDE OI-USD_756,CL.JUL27
757,CRUDE OI-USD_757,CL.AUG27
758,CRUDE OI-USD_758,CL.SEP27
759,CRUDE OI-USD_759,CL.OCT27
760,CRUDE OI-USD_760,CL.NOV27
761,CRUDE OI-USD_761,CL.DEC27
762,NATURAL -USD_762,NG.FEB26
763,NATURAL -USD_763,NG.MAR26
764,NATURAL -USD_764,NG.APR26
765,NATURAL -USD_765,NG.MAY26
766,NATURAL -USD_766,NG.JUN26
767,NATURAL -USD_767,NG.JUL26
768,NATURAL -USD_768,NG.AUG26
769,NATURAL -USD_769,NG.SEP26
770,NATURAL -USD_770,NG.OCT26
771,NATURAL -USD_771,NG.NOV26
772,NATURAL -USD_772,NG.DEC26
773,NATURAL -USD_773,NG.JAN27
774,NATURAL -USD_774,NG.FEB27
775,NATURAL -USD_775,NG.MAR27
776,NATURAL -USD_776,NG.APR27
777,NATURAL -USD_777,NG.MAY27
778,NATURAL -USD_778,NG.JUN27
779,NATURAL -USD_779,NG.JUL27
780,NATURAL -USD_780,NG.AUG27
781,NATURAL -USD_781,NG.SEP27
782,NATGAS 2-USD,NatGas.24-7
783,SILVER 2-USD,Silver.24-7
784,OIL 24/7-USD,OIL.24-7
785,DC,Drm.785
797,DormantCFD797=X,Drm.797
798,DORMANT -USD_798,Drm.798
799,DORMANT -USD_799,Drm.799
800,DORMANT -USD_800,Drm.800
801,DORMANT -USD_801,Drm.801
