instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
1000351,CVW.ASX,CWL.AX,CVW.AX,5,RESCUED (applied)
1000353,TWR.ASX,TL.AX,TWR.AX,5,RESCUED (applied)
1000355,GDG.ASX,GDGL.AX,GDG.AX,5,RESCUED (applied)
1000361,MYX.ASX,MPGL.AX,MYX.AX,5,RESCUED (applied)
1000362,PGC.ASX,PCL.AX,PGC.AX,5,RESCUED (applied)
1000377,SRV.ASX,SL.AX_1000377,SRV.AX,5,RESCUED (applied)
1000398,LIN.ASX,LRL.AX,LIN.AX,5,RESCUED (applied)
1000417,HSN.ASX,HTL.AX,HSN.AX,5,RESCUED (applied)
1000437,BTR.ASX,BRL.AX_1000437,BTR.AX,5,RESCUED (applied)
1000449,MSB.ASX,ML.AX_1000449,MSB.AX,5,RESCUED (applied)
1000467,CUV.ASX,CPL.AX,CUV.AX,5,RESCUED (applied)
1000475,MEK.ASX,MML.AX,MEK.AX,5,RESCUED (applied)
1000479,MGX.ASX,MRL.AX_1000479,MGX.AX,5,RESCUED (applied)
1000506,AMA.ASX,AGL.AX_1000506,AMA.AX,5,RESCUED (applied)
1000511,FEX.ASX,FRL.AX,FEX.AX,5,RESCUED (applied)
1000518,NMG.ASX,NMGL.AX,NMG.AX,5,RESCUED (applied)
1000519,CGS.ASX,CL.AX_1000519,CGS.AX,5,RESCUED (applied)
1000577,RXL.ASX,RRL.AX_1000577,RXL.AX,5,RESCUED (applied)
1000588,AEL.ASX,AEL.AX_1000588,AEL.AX,5,RESCUED (applied)
1000602,OBM.ASX,OBML.AX,OBM.AX,5,RESCUED (applied)
1000618,SPZ.ASX,SPL.AX,SPZ.AX,5,RESCUED (applied)
1000621,STX.ASX,SEL.AX,STX.AX,5,RESCUED (applied)
1000634,COG.ASX,CFSL.AX,COG.AX,5,RESCUED (applied)
1000636,AEF.ASX,AEIL.AX,AEF.AX,5,RESCUED (applied)
1000640,SSM.ASX,SSL.AX_1000640,SSM.AX,5,RESCUED (applied)
1000656,PPC.ASX,PL.AX_1000656,PPC.AX,5,RESCUED (applied)
1000658,MEI.ASX,MRN.AX_1000658,MEI.AX,5,RESCUED (applied)
1000665,ARU.ASX,AREL.AX,ARU.AX,5,RESCUED (applied)
1000670,LOT.ASX,LRL.AX_1000670,LOT.AX,5,RESCUED (applied)
1000673,AFG.ASX,AFGL.AX,AFG.AX,5,RESCUED (applied)
1000674,MLX.ASX,MXL.AX,MLX.AX,5,RESCUED (applied)
1000689,JMS.ASX,JML.AX,JMS.AX,5,RESCUED (applied)
1000690,HUM.ASX,HGL.AX_1000690,HUM.AX,5,RESCUED (applied)
